,stress,xing,iangle,xangle,ring,absedge,tsne,rng
sgd2,0.04319258925025177,0.03485545795056857,0.0009055606452447729,0.07335955262261241,0.0060229232280533205,0.22378654882067966,0.021080170535273716,0.03346950414561275
deepgd,0.0,0.0,-0.0004608006729973296,1.1497447049369922e-10,0.0,0.0,0.0,0.0
neato,0.0018991754844264108,-0.016690825651835595,-0.0006773096021586862,0.030638018285933547,-0.0043431703762176485,0.17873687179056014,-0.009539956113082955,0.013772119802464422
kamada_kawai,0.015468231903335758,0.008409446329280397,-0.001566355590720446,0.06418311774549092,0.0010150756399601975,0.1959584426021159,0.0023754525493233265,0.023382998948403455
fa2,-0.3201312159097971,0.17113567459955448,0.003293743146164296,0.20291488360020657,-0.14853845225427786,-0.3654448361473644,-0.030077202161741753,0.16837889330285757
pmds,-0.35605611336850634,-0.2537423624099767,0.0029203162554407537,-0.40642599694609655,-0.2375267693198767,-0.47500691783477145,-0.26932099375400687,-0.06495911457004491
sfdp,-0.2065531433717001,0.0700002455959809,-0.0016239845915640403,0.05838411622914496,-0.11788252577163812,0.1331635870070583,-0.057763583469737534,0.044744504898717355
circo,-0.741602284476759,-0.6028197288155562,0.05112864769719608,-0.696067435826116,-0.5016640910974243,-0.9050559234261006,-0.42061641864733507,0.3266970773859561
spring,-0.35777059942474787,-0.260834504381557,-0.0034871974627374226,-0.27401685907295015,-0.1760841691946942,0.005576818621343166,-0.2540133487861342,-0.05108585978278289
dot,-0.7443068885133856,-0.6315407026418179,-0.0527725486716443,-0.695150529723807,-0.5471427654984727,-0.8248412969828645,-0.4693265348477193,-0.1396732253921128
twopi,-0.7455189484472551,-0.694876399090245,0.02984916380385058,-0.7232342901757481,-0.4360950374960233,-0.9211183832904762,-0.35434973690482274,0.18760274131669133
spectral,-0.724039322807221,-0.10310626015632447,-0.023273921187678067,-0.40909392205778333,-0.6046917968931678,-0.6807446060845769,-0.4885212833976301,-0.01148317569550514
fdp,-0.2583917548530349,-0.2102445202446586,-0.0025791549127191747,-0.17831359777081496,-0.12245798548118003,0.2811772097651389,-0.19444197368950145,-0.09719528761671647
fmmm,-0.1307979724675334,-0.06664346195944873,-0.0017172044176607406,-0.0273073677068427,-0.07973029458731237,0.42318278085759015,-0.07207366320300687,-0.0447288351205574
gd2(metric=stress),0.005571130833298552,0.008646825095637228,-0.00022956113537687538,0.054718859152198165,-0.0041801123971510635,0.20576642223193778,-0.008158001971549051,0.017796202800203564
gd2(metric=stress+xangle),-0.656078036731825,-0.7621376143587738,0.009957411526515473,-0.6391790202278804,-0.5433924207543591,-0.663563844938436,-0.4079135980174968,-0.1889932931432314
gd2(metric=stress+xing),-0.28085666245048563,0.34221964279428363,0.013838645105501512,0.30214596158510276,-0.08897467297033677,-0.4681769350441829,-0.06487529415331804,0.05375719399047638
gd2(metric=xangle),-0.8694877654309575,-0.9707644370656795,0.05557533794754986,-0.9754208916460484,-0.7840169129789238,-0.9439336128095146,-0.6596841628055407,-0.348623477517365
gd2(metric=xing),-0.7853411994622043,0.12083943712492744,0.026641801796808744,-0.05429541234776567,-0.5675164653607877,-0.8924067431021303,-0.49484506654620336,-0.18304701557900774
smartgd(metric=human_preference),-0.00689601631421818,0.07914485995410712,0.005229310183792141,0.16715565226608806,-0.005064884577253964,0.2842848836392334,0.05527550019535803,0.11984591166336533
smartgd(metric=stress),0.037142484384445125,-0.0328180225439388,0.0010345699604525822,-0.012143505858363846,0.0018573157130033016,0.17423448216408133,0.015053327195473688,0.04956488157655585
smartgd(metric=stress+xangle),0.03370893359457465,0.01632716496396882,0.00040529092889826266,0.0918297875569853,0.0055492470575673565,0.17898758171112017,0.028037054719634257,0.0684447955517645
smartgd(metric=stress+xing),0.0243010127842317,0.1076370949528584,0.002007877247817264,0.14449683498064364,0.0029321403588296055,0.13233591617754753,0.03479194868904106,0.11137601746698993
smartgd(metric=xangle),-0.4282952916941827,0.3654829991333621,0.01614998489287267,0.3577444534402338,-0.2167346352361881,-0.5643999622818623,-0.06356466895636408,0.2393097027705784
smartgd(metric=xing),-0.39316175295725697,0.31527616589445506,0.017821347958569635,0.23616850834440142,-0.20582497840941918,-0.5475781569425004,-0.05806238776009758,0.227707772996073
